Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[34;50]
Otono,No laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Nit,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,No respectar distancies,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Invierno,No laborable,Gir indegut o sense precaucio,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Invierno,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,Menor
Invierno,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Turisme,Home,[18;33]
Invierno,No laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Desobeir altres senyals,Mati,Colision frontal,Bicicleta,Dona,[18;33]
Invierno,No laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Home,[51;70]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Atropellament,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,Desobeir altres senyals,Nit,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,No determinada,Mati,Abast,Motocicleta,Dona,[18;33]
Primavera,Laborable,Desobeir samoforo,Mati,Altres,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70]
Invierno,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Motocicleta,Dona,[51;70]
Verano,No laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Turisme,Home,[18;33]
Otono,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Turisme,Home,[18;33]
Invierno,Laborable,Altres,Tarda,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Altres,Tarda,Colision lateral,Bicicleta,Home,[34;50]
Otono,Laborable,Desobeir altres senyals,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,No laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision frontal,Turisme,Dona,[51;70]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Turisme,Home,[51;70]
Otono,Laborable,Desobeir altres senyals,Mati,Colision fronto-lateral,Turisme,Home,[34;50]
Primavera,Laborable,Altres,Tarda,Xoc contra element estatic,Turisme,Home,[51;70]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Dona,[34;50]
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Dona,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Turisme,Dona,[34;50]
Verano,No laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Verano,No laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Home,[34;50]
